Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days
T+0_R-10,Drought,0.0,-10.0,Ogun,2024,South,1445.04,4582.57,16,29.627236363636364,23.700545454545452,89.01341818181818,16.325090909090907,-0.5264052409229788,275,275
T+0_R-10,Drought,0.0,-10.0,Ondo,2024,South,1221.12,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-0.9489439959850697,275,275
T+0_R-10,Drought,0.0,-10.0,Osun,2024,South,1511.487,4410.16,20,29.385927272727276,22.687963636363634,88.06992727272726,15.928509090909092,-0.3678848726100542,275,275
T+0_R-10,Drought,0.0,-10.0,Oyo,2024,South,1469.295,4472.030000000001,19,29.674945454545455,22.848909090909093,87.58556363636363,15.93450909090909,-0.4399009147139256,275,275
T+0_R-10,Drought,0.0,-10.0,Plateau,2024,Middle,1238.157,3065.7900000000004,9,28.977289719626164,19.67495327102804,77.79901869158877,16.974906542056075,1.0584617768271258,214,214
T+0_R-10,Drought,0.0,-10.0,Rivers,2024,South,1593.7649999999999,4714.629999999999,21,30.30472727272727,23.983490909090907,88.48505454545455,14.248981818181818,-1.0312177405024023,275,275
T+0_R-10,Drought,0.0,-10.0,Sokoto,2024,North,1227.159,3433.615,16,33.102663043478266,24.219239130434783,72.92222826086956,20.30445652173913,3.98292084184097,184,184
T+0_R-10,Drought,0.0,-10.0,Taraba,2024,North,986.2650000000001,3227.08,13,31.396032608695656,23.68092391304348,77.71913043478261,16.88103260869565,0.5995816599557916,184,184
T+0_R-10,Drought,0.0,-10.0,Yobe,2024,North,834.165,3455.5950000000003,31,33.55940217391304,24.001413043478262,66.63913043478261,20.06733695652174,1.3360616360407547,184,184
T+0_R-10,Drought,0.0,-10.0,Zamfara,2024,North,625.383,3260.6349999999998,17,32.69663043478261,22.745054347826088,70.14929347826086,19.637336956521736,-0.5424980307332798,184,184
T+0_R-20,Drought,0.0,-20.0,Abia,2024,South,1085.24,4627.7,23,30.031090909090906,23.62490909090909,87.19501818181817,15.994727272727273,-1.4786221582221328,275,275
T+0_R-20,Drought,0.0,-20.0,Adamawa,2024,North,723.392,3318.585,12,32.403423913043476,23.668152173913047,72.47163043478261,18.33570652173913,-0.985618936076318,184,184
T+0_R-20,Drought,0.0,-20.0,Akwa Ibom,2024,South,1495.272,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727273,-2.625258797427147,275,275
T+0_R-20,Drought,0.0,-20.0,Anambra,2024,South,1077.6080000000002,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-1.179334061363218,275,275
T+0_R-20,Drought,0.0,-20.0,Bauchi,2024,North,868.0880000000001,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,0.9186986385613676,184,184
T+0_R-20,Drought,0.0,-20.0,Bayelsa,2024,South,1506.384,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181817,-1.1385826582069312,275,275
T+0_R-20,Drought,0.0,-20.0,Benue,2024,Middle,770.52,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-1.316834447973708,214,214
T+0_R-20,Drought,0.0,-20.0,Borno,2024,North,466.528,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,-0.49597698286675906,184,184
T+0_R-20,Drought,0.0,-20.0,Cross River,2024,South,1495.272,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545455,-2.625258797427147,275,275
T+0_R-20,Drought,0.0,-20.0,Delta,2024,South,1077.6080000000002,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-1.179334061363218,275,275
T+0_R-20,Drought,0.0,-20.0,Ebonyi,2024,South,722.7760000000001,4949.355,32,31.964545454545455,24.030763636363638,78.39523636363637,17.160509090909088,-1.9566096491792917,275,275
T+0_R-20,Drought,0.0,-20.0,Edo,2024,South,1084.6240000000003,4583.4349999999995,12,29.720836363636366,23.613236363636364,89.4073090909091,15.766727272727271,-1.1107650882695501,275,275
T+0_R-20,Drought,0.0,-20.0,Ekiti,2024,South,1085.44,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-1.4213443679361026,275,275
T+0_R-20,Drought,0.0,-20.0,Enugu,2024,South,780.72,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.9963650275449252,275,275
T+0_R-20,Drought,0.0,-20.0,FCT,2024,Middle,923.448,3569.0699999999997,11,30.605186915887852,22.750607476635516,80.45640186915888,17.145467289719626,-0.828553327151722,214,214
T+0_R-20,Drought,0.0,-20.0,Gombe,2024,North,1146.7600000000002,3255.21,28,31.93304347826087,23.449673913043476,73.95494565217392,19.025163043478262,1.4486484604430292,184,184
T+0_R-20,Drought,0.0,-20.0,Imo,2024,South,1282.864,4689.094999999999,21,30.224945454545455,23.877563636363636,87.54370909090908,15.994727272727273,-0.9438851731795997,275,275
T+0_R-20,Drought,0.0,-20.0,Jigawa,2024,North,814.6080000000001,3497.245,16,34.34570652173913,23.667826086956516,65.43054347826087,19.946739130434782,1.468129244765175,184,184
T+0_R-20,Drought,0.0,-20.0,Kaduna,2024,North,1165.4720000000002,2800.6800000000003,9,29.123260869565218,21.31891304347826,82.87179347826087,17.654891304347824,-0.22176167202388045,184,184
T+0_R-20,Drought,0.0,-20.0,Kano,2024,North,801.104,3483.455,16,34.5625,23.301141304347826,65.6521195652174,20.282445652173912,1.2603729635527479,184,184
T+0_R-20,Drought,0.0,-20.0,Katsina,2024,North,1032.688,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.780108695652174,3.4549078630549865,184,184
T+0_R-20,Drought,0.0,-20.0,Kebbi,2024,North,1703.9680000000003,3373.3050000000003,14,32.69858695652174,23.967771739130434,77.36255434782608,19.648369565217394,9.136092044185826,184,184
