State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Bauchi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.3475265541865546,2.4562186886261888,0.1086921344396341,4.630070498916984
Bayelsa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9828558646908638,1.8854570015170002,-0.09739886317386359,-4.912049580015666
Benue,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.737263601491102,2.573926672679173,-0.16333692881192885,-5.967161099243508
Borno,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.6590300120250134,2.573911992544493,-0.08511801948052033,-3.201092845721503
Cross River,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9022551720501713,1.8829425041625034,-0.019312667887667834,-1.0152511698445508
Delta,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9366485942760934,1.8614728408628394,-0.075175753413254,-3.8817446611347792
Ebonyi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.7944163329263332,1.7884135551485554,-0.006002777777777801,-0.33452536446703396
Edo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0688820586820573,1.9020084096459096,-0.16687364903614776,-8.06588506753505
Ekiti,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.184954420856922,1.7988179599104592,-0.3861364609464628,-17.67251789147268
Enugu,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.886856821789321,1.7943286080586078,-0.09252821373071307,-4.903828030945552
FCT,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5084377397602404,2.755042026214528,0.24660428645428745,9.830990920980888
Gombe,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5915788844488827,2.746791262996263,0.15521237854738024,5.989104922823417
Imo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9377850873200857,1.85008655178155,-0.0876985355385358,-4.525710106471144
Jigawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9830492814592822,1.9729781469456464,-0.010071134513635727,-0.5078610303736174
Kaduna,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.2874002532652513,2.42826149147149,0.14086123820623886,6.158136863242898
Kano,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9585134601509608,1.9542517941317945,-0.0042616660191663325,-0.21759697371892692
Katsina,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9979591144041133,2.06132121091871,0.06336209651459668,3.1713409978108724
Kebbi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0630674849224846,2.1105575144300146,0.04749002950753001,2.301913527046564
Kogi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.7516167929292936,2.576562012987013,-0.1750547799422808,-6.361888050404084
Kwara,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.3339023285048293,2.675979652477153,0.3420773239723238,14.656882586490639
Lagos,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.6620472915972915,1.8624552218152202,0.2004079302179287,12.057895778966008
Nasarawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.8555857335257344,2.587856151996152,-0.26772958152958237,-9.375645016933952
Niger,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.7895873544973537,2.486609286916786,-0.3029780675805678,-10.861035310190541
Ogun,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.039880582935582,1.8634957905982894,-0.17638479233729276,-8.646819515457041
Ondo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.184954420856922,1.7988179599104592,-0.3861364609464628,-17.67251789147268
Osun,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.947098117623118,1.8544120941095927,-0.09268602351352517,-4.76021329765702
Oyo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0064290904465896,1.8646792105117094,-0.1417498799348802,-7.064783929310435
Plateau,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.262516705886705,2.3272552590002595,0.0647385531135547,2.8613513856103423
