Feature_Set,Feature_Count,Fold,Model,Test_State_Count,Test_Size,MAE,RMSE,R2,Mean_Error
No_Temperature_Pair,6,1,RandomForest,8,40,0.39200751330151334,0.4882752739953956,0.030051713624126175,-0.11853041311928794
No_Temperature_Pair,6,1,LightGBM,8,40,0.3969160219841599,0.4925465222792754,0.013008007353927376,-0.1344857341124896
No_Temperature_Pair,6,2,Ridge,8,40,0.3984797388642877,0.4549836376601146,-0.16753020506035043,0.24725393907453713
No_Temperature_Pair,6,2,RandomForest,8,40,0.3261226402856401,0.4006330248401664,0.09474681853642086,0.22040110181022676
No_Temperature_Pair,6,2,LightGBM,8,40,0.36267398435148646,0.4329061225549398,-0.056973317008745195,0.24859436362269643
No_Temperature_Pair,6,3,Ridge,7,35,0.3989296889286153,0.501459535580022,-0.44468043294638937,0.005195757972090766
No_Temperature_Pair,6,3,RandomForest,7,35,0.3548290130398702,0.4605391620439778,-0.21852132839552452,0.017070969961255837
No_Temperature_Pair,6,3,LightGBM,7,35,0.3505228606694067,0.4524220693314004,-0.17594650603206197,0.014110665998236018
No_Temperature_Pair,6,4,Ridge,7,35,0.38529674378062784,0.4598702318120461,-0.5297391455463647,-0.22842460643836396
No_Temperature_Pair,6,4,RandomForest,7,35,0.3530602540369682,0.4243674217361643,-0.3026593375732767,-0.24152138260152525
No_Temperature_Pair,6,4,LightGBM,7,35,0.3845256556082661,0.4545611457034518,-0.4946221240275417,-0.30474021773094684
No_Temperature_Pair,6,5,Ridge,7,35,0.36580088412513534,0.4427841419691952,-0.05128459030704846,0.13263874875292286
No_Temperature_Pair,6,5,RandomForest,7,35,0.4524830483986913,0.5050989299602942,-0.36800939041112257,0.1858784424966565
No_Temperature_Pair,6,5,LightGBM,7,35,0.42550017435471393,0.47760654416971976,-0.22314154985863532,0.17826533744684994
