Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
RandomForest,Yobe,2024,Mean_Solar_Radiation_MJ_m2_day,20.06733695652174,-0.29536525369553984,0.29536525369553984
RandomForest,Yobe,2024,Rainfall_Anomaly_Z_2000_2019,2.0400254849642674,0.00804230511740276,0.00804230511740276
RandomForest,Zamfara,2024,Seasonal_Rainfall_mm,694.8700000000001,-0.004349837888045962,0.004349837888045962
RandomForest,Zamfara,2024,Seasonal_GDD_C,3260.635,0.09359989155652082,0.09359989155652082
RandomForest,Zamfara,2024,Max_CDD_days,17.0,0.021480014468807176,0.021480014468807176
RandomForest,Zamfara,2024,Mean_Tmax_C,32.69663043478261,0.0417720343359603,0.0417720343359603
RandomForest,Zamfara,2024,Mean_Tmin_C,22.745054347826088,0.006343183827223319,0.006343183827223319
RandomForest,Zamfara,2024,Mean_RH_pct,70.14929347826086,0.02534317681280039,0.02534317681280039
RandomForest,Zamfara,2024,Mean_Solar_Radiation_MJ_m2_day,19.637336956521736,-0.2569843447044104,0.2569843447044104
RandomForest,Zamfara,2024,Rainfall_Anomaly_Z_2000_2019,-0.1021922336829729,-0.004980114749851723,0.004980114749851723
LightGBM,Abia,2024,Seasonal_Rainfall_mm,1356.55,-0.005458876237066863,0.005458876237066863
LightGBM,Abia,2024,Seasonal_GDD_C,4627.7,-0.27042837696092625,0.27042837696092625
LightGBM,Abia,2024,Max_CDD_days,23.0,-0.004639685415127725,0.004639685415127725
LightGBM,Abia,2024,Mean_Tmax_C,30.031090909090903,0.12505240441592477,0.12505240441592477
LightGBM,Abia,2024,Mean_Tmin_C,23.62490909090909,0.08273604016820381,0.08273604016820381
LightGBM,Abia,2024,Mean_RH_pct,87.19501818181817,-0.006585221338760025,0.006585221338760025
LightGBM,Abia,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,-0.013607782979656804,0.013607782979656804
LightGBM,Abia,2024,Rainfall_Anomaly_Z_2000_2019,-0.9196010910323762,-0.1059613644115902,0.1059613644115902
LightGBM,Adamawa,2024,Seasonal_Rainfall_mm,904.24,0.0429509956678296,0.0429509956678296
LightGBM,Adamawa,2024,Seasonal_GDD_C,3318.585,0.13642764984951947,0.13642764984951947
LightGBM,Adamawa,2024,Max_CDD_days,12.0,0.0263705259279146,0.0263705259279146
LightGBM,Adamawa,2024,Mean_Tmax_C,32.40342391304348,0.11260649224937314,0.11260649224937314
LightGBM,Adamawa,2024,Mean_Tmin_C,23.668152173913047,0.04527256324003221,0.04527256324003221
LightGBM,Adamawa,2024,Mean_RH_pct,72.47163043478261,0.05341175404550675,0.05341175404550675
LightGBM,Adamawa,2024,Mean_Solar_Radiation_MJ_m2_day,18.33570652173913,0.21565104311326067,0.21565104311326067
LightGBM,Adamawa,2024,Rainfall_Anomaly_Z_2000_2019,0.5051163098175504,-0.01436744113932182,0.01436744113932182
LightGBM,Akwa Ibom,2024,Seasonal_Rainfall_mm,1869.09,-0.0039457800314187325,0.0039457800314187325
LightGBM,Akwa Ibom,2024,Seasonal_GDD_C,4694.005000000001,-0.30441402053840005,0.30441402053840005
LightGBM,Akwa Ibom,2024,Max_CDD_days,18.0,-0.005915121542345519,0.005915121542345519
LightGBM,Akwa Ibom,2024,Mean_Tmax_C,29.75338181818182,0.13561827431709836,0.13561827431709836
LightGBM,Akwa Ibom,2024,Mean_Tmin_C,24.384836363636364,-0.03395031486487062,0.03395031486487062
LightGBM,Akwa Ibom,2024,Mean_RH_pct,87.72872727272728,-0.003429574330279685,0.003429574330279685
LightGBM,Akwa Ibom,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,-0.011914433649538491,0.011914433649538491
LightGBM,Akwa Ibom,2024,Rainfall_Anomaly_Z_2000_2019,-1.8894777114847496,-0.10477905866059263,0.10477905866059263
LightGBM,Anambra,2024,Seasonal_Rainfall_mm,1347.01,-0.01148312526598877,0.01148312526598877
LightGBM,Anambra,2024,Seasonal_GDD_C,4641.875,-0.25740353197076143,0.25740353197076143
LightGBM,Anambra,2024,Max_CDD_days,21.0,-0.00800045829297409,0.00800045829297409
LightGBM,Anambra,2024,Mean_Tmax_C,30.05850909090909,0.12309387233483053,0.12309387233483053
LightGBM,Anambra,2024,Mean_Tmin_C,23.700581818181817,0.06499545399144789,0.06499545399144789
LightGBM,Anambra,2024,Mean_RH_pct,86.4098909090909,-0.00041817864985320153,0.00041817864985320153
LightGBM,Anambra,2024,Mean_Solar_Radiation_MJ_m2_day,16.76098181818182,0.03943575580159047,0.03943575580159047
LightGBM,Anambra,2024,Rainfall_Anomaly_Z_2000_2019,-0.6683966152075341,-0.07398819345380686,0.07398819345380686
LightGBM,Bauchi,2024,Seasonal_Rainfall_mm,1085.11,0.025536611076482613,0.025536611076482613
LightGBM,Bauchi,2024,Seasonal_GDD_C,3200.24,-0.05269102171700164,0.05269102171700164
LightGBM,Bauchi,2024,Max_CDD_days,16.0,0.09633278539150508,0.09633278539150508
LightGBM,Bauchi,2024,Mean_Tmax_C,31.968804347826087,0.04094339731560877,0.04094339731560877
LightGBM,Bauchi,2024,Mean_Tmin_C,22.816413043478263,0.02450257520574486,0.02450257520574486
LightGBM,Bauchi,2024,Mean_RH_pct,71.98304347826088,0.00013838511343103343,0.00013838511343103343
LightGBM,Bauchi,2024,Mean_Solar_Radiation_MJ_m2_day,19.371358695652173,0.07286609968637166,0.07286609968637166
LightGBM,Bauchi,2024,Rainfall_Anomaly_Z_2000_2019,2.0242342283357715,-0.0032691223650489687,0.0032691223650489687
LightGBM,Bayelsa,2024,Seasonal_Rainfall_mm,1882.98,-0.005836764724458244,0.005836764724458244
LightGBM,Bayelsa,2024,Seasonal_GDD_C,4720.065,-0.256528210767274,0.256528210767274
LightGBM,Bayelsa,2024,Max_CDD_days,21.0,-0.01720021298018321,0.01720021298018321
LightGBM,Bayelsa,2024,Mean_Tmax_C,29.968800000000005,0.14631753149662893,0.14631753149662893
LightGBM,Bayelsa,2024,Mean_Tmin_C,24.358945454545456,-0.036646763853661724,0.036646763853661724
LightGBM,Bayelsa,2024,Mean_RH_pct,88.53152727272726,0.0015517676220481154,0.0015517676220481154
LightGBM,Bayelsa,2024,Mean_Solar_Radiation_MJ_m2_day,14.644981818181815,0.030589389556412,0.030589389556412
LightGBM,Bayelsa,2024,Rainfall_Anomaly_Z_2000_2019,-0.5543351476094643,0.03120183949119806,0.03120183949119806
LightGBM,Benue,2024,Seasonal_Rainfall_mm,963.15,0.07163204606775728,0.07163204606775728
LightGBM,Benue,2024,Seasonal_GDD_C,3758.71,0.30487534518761356,0.30487534518761356
LightGBM,Benue,2024,Max_CDD_days,8.0,-0.009302354770069736,0.009302354770069736
LightGBM,Benue,2024,Mean_Tmax_C,31.120794392523365,0.12967921719096065,0.12967921719096065
LightGBM,Benue,2024,Mean_Tmin_C,24.007336448598124,0.04664449475045406,0.04664449475045406
LightGBM,Benue,2024,Mean_RH_pct,81.08780373831776,0.011241327724793384,0.011241327724793384
