State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Cross River,South South,2023,1.65,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,2374.96,4585.145,3,29.10352727272727,24.242981818181818,89.3528,14.16669090909091,-0.8937803990340917,275,275,ok
Cross River,South South,2024,1.69,Agricultural Productivity Survey 2024,Table 12.2,South,1869.09,4694.005000000001,18,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545457,-1.8894777114847496,275,275,ok
Delta,South South,2020,2.02,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2209.44,4440.435,11,29.250690909090903,23.043381818181818,87.63425454545454,16.51316363636364,0.9672548710028384,275,275,ok
Delta,South South,2021,2.0,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2162.34,4433.014999999999,10,29.016872727272727,23.223236363636364,88.82174545454546,16.543636363636363,0.8779268269870816,275,275,ok
Delta,South South,2022,1.99,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1429.84,4430.95,14,29.22610909090909,22.99898181818181,87.20010909090908,15.91301818181818,-0.5113044307951118,275,275,ok
Delta,South South,2023,2.03,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1587.33,4537.595,8,29.387600000000003,23.61309090909091,88.52974545454545,16.094145454545455,-0.2126149689683303,275,275,ok
Delta,South South,2024,2.09,Agricultural Productivity Survey 2024,Table 12.2,South,1347.01,4641.875,21,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-0.6683966152075341,275,275,ok
Ebonyi,South East,2020,1.82,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,1248.7199999999998,4596.469999999999,19,30.334036363636365,23.094836363636364,83.32458181818181,17.43770909090909,-0.7615284344474759,275,275,ok
Ebonyi,South East,2021,1.83,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,769.45,4656.77,10,30.56821818181817,23.299200000000003,83.18792727272728,17.348618181818182,-1.8505542124476384,275,275,ok
Ebonyi,South East,2022,1.74,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1074.2,4660.165,27,30.774472727272727,23.11763636363636,81.36676363636364,16.68138181818182,-1.1580831505294091,275,275,ok
Ebonyi,South East,2023,1.78,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,791.36,4805.745,10,31.068763636363634,23.88210909090909,82.44301818181818,17.042,-1.8007690082913514,275,275,ok
Ebonyi,South East,2024,1.83,Agricultural Productivity Survey 2024,Table 12.2,South,903.47,4949.355,32,31.96454545454545,24.03076363636364,78.39523636363637,17.160509090909088,-1.546026003363861,275,275,ok
Edo,South South,2020,1.52,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2079.9,4389.219999999999,11,29.007563636363635,22.914036363636363,90.15025454545454,15.870727272727272,0.6779554494747,275,275,ok
Edo,South South,2021,1.48,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2253.9,4388.07,11,28.71949090909091,23.193745454545454,91.45414545454544,16.033018181818182,0.990670086989821,275,275,ok
Edo,South South,2022,2.26,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1652.4699999999998,4373.27,14,28.87414545454545,22.931454545454542,90.15778181818182,15.479527272727276,-0.0902262603706349,275,275,ok
Edo,South South,2023,2.3,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1627.1,4491.344999999999,5,29.14454545454545,23.51978181818182,91.03549090909092,15.572254545454545,-0.1358214922887876,275,275,ok
Edo,South South,2024,2.37,Agricultural Productivity Survey 2024,Table 12.2,South,1355.78,4583.435,12,29.72083636363637,23.613236363636364,89.4073090909091,15.766727272727271,-0.6234406615451246,275,275,ok
Ekiti,South West,2020,1.8,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,1674.83,4131.280000000001,14,28.408036363636363,21.63763636363636,87.87240000000001,16.94941818181818,0.6307491994593836,275,275,ok
Ekiti,South West,2021,1.84,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2454.52,4160.120000000001,10,28.32523636363636,21.93018181818182,88.6116,16.92436363636364,3.3454149276912624,275,275,ok
Ekiti,South West,2022,1.96,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1935.77,4042.9,15,27.862654545454543,21.540254545454548,89.01807272727274,16.410981818181817,1.539270374701886,275,275,ok
Ekiti,South West,2023,2.0,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1991.3,4201.675,6,28.312,22.24563636363636,89.70890909090907,16.682509090909093,1.732610532827188,275,275,ok
