State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Ekiti,South West,2024,2.06,Agricultural Productivity Survey 2024,Table 12.2,South,1356.8000000000002,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275,ok
Enugu,South East,2020,1.82,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,1624.71,4419.49,14,29.49672727272728,22.64501818181818,85.4033090909091,17.070800000000002,0.2313925871858051,275,275,ok
Enugu,South East,2021,1.88,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,1266.25,4440.415000000001,10,29.43767272727273,22.856254545454544,86.45323636363636,16.93858181818182,-0.7147821240979515,275,275,ok
Enugu,South East,2022,2.08,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1203.27,4449.645,20,29.72407272727273,22.63698181818182,84.06698181818182,16.301781818181816,-0.8810212674239879,275,275,ok
Enugu,South East,2023,2.12,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1097.81,4586.5,9,29.97632727272727,23.380036363636364,85.26476363636363,16.616436363636364,-1.1593886865278906,275,275,ok
Enugu,South East,2024,2.18,Agricultural Productivity Survey 2024,Table 12.2,South,975.9,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.4811767773960565,275,275,ok
FCT,North Central,2020,2.27,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1351.59,3289.0600000000004,11,29.09359813084112,21.645280373831778,83.91345794392525,17.96242990654206,0.5491280097315004,214,214,ok
FCT,North Central,2021,2.29,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1297.06,3421.295,11,29.86471962616822,22.11,80.99528037383179,18.48135514018692,0.3736606103634354,214,214,ok
FCT,North Central,2022,2.48,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,1705.36,3226.32,16,28.59168224299065,21.56084112149533,85.18794392523364,17.31228971962617,1.68749408114981,214,214,ok
FCT,North Central,2023,2.53,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,979.87,3536.7900000000004,10,30.488364485981304,22.5657476635514,81.15247663551402,18.32929906542056,-0.6469978236280662,214,214,ok
FCT,North Central,2024,2.6,Agricultural Productivity Survey 2024,Table 12.2,Middle,1154.31,3569.07,11,30.60518691588785,22.75060747663552,80.45640186915888,17.145467289719626,-0.0856823432362582,214,214,ok
Gombe,North East,2020,1.79,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1223.97,2917.48,16,29.91402173913044,21.797717391304342,81.48249999999999,19.93489130434783,1.8394671087077792,184,184,ok
Gombe,North East,2021,1.73,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,2116.09,2998.59,7,30.202391304347824,22.390978260869566,80.56173913043477,20.23293478260869,6.35516627319359,184,184,ok
Gombe,North East,2022,1.77,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,1999.82,2853.9350000000004,11,29.278260869565216,21.74277173913044,83.41086956521738,19.402282608695653,5.766635199061448,184,184,ok
Gombe,North East,2023,1.8,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,741.76,3191.395,14,31.85722826086956,22.83184782608696,74.19826086956522,19.625,-0.6013651718225336,184,184,ok
Gombe,North East,2024,1.85,Agricultural Productivity Survey 2024,Table 12.2,North,1433.4500000000005,3255.21,16,31.93304347826087,23.44967391304348,73.95494565217392,19.025163043478265,2.8998050239842987,184,184,ok
Imo,South East,2020,2.42,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2503.75,4503.735000000001,11,29.527381818181816,23.227054545454543,88.37385454545453,16.229454545454548,1.1889697697778427,275,275,very_high
Imo,South East,2021,2.42,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2524.21,4493.635,10,29.31836363636364,23.36261818181818,89.1672,15.99338181818182,1.2247128384451134,275,275,very_high
Imo,South East,2022,2.36,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1574.03,4493.415,12,29.49570909090909,23.18367272727273,88.05512727272728,15.806545454545452,-0.4352260171886667,275,275,ok
