Model,Scenario,Scenario_Type,Extreme_Type,State,Year,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
LightGBM,T+2_R-30,Compound,Most_Positive,Plateau,2024,2.0,-30.0,2.117811946993451,2.464319815489011,0.3465078684955602,16.361597590734142
LightGBM,T+2_R0,Heat,Most_Negative,Niger,2024,2.0,0.0,2.714291854945248,2.1457624829459374,-0.5685293719993103,-20.945771581765975
LightGBM,T+2_R0,Heat,Most_Negative,Nasarawa,2024,2.0,0.0,2.8528243385884564,2.4870834609696177,-0.3657408776188386,-12.820308375516836
LightGBM,T+2_R0,Heat,Most_Negative,Ekiti,2024,2.0,0.0,2.12982541303054,1.958975618498279,-0.1708497945322609,-8.02177462467019
LightGBM,T+2_R0,Heat,Most_Negative,Ondo,2024,2.0,0.0,2.12982541303054,1.958975618498279,-0.1708497945322609,-8.02177462467019
LightGBM,T+2_R0,Heat,Most_Negative,Ogun,2024,2.0,0.0,2.201893978512967,2.03291635450267,-0.1689776240102971,-7.674194382620317
LightGBM,T+2_R0,Heat,Most_Positive,Plateau,2024,2.0,0.0,2.117811946993451,2.345821429949318,0.2280094829558669,10.76627616911692
LightGBM,T+2_R0,Heat,Most_Positive,Kaduna,2024,2.0,0.0,2.150619625529219,2.3845607145107004,0.2339410889814814,10.877845910288013
LightGBM,T+2_R0,Heat,Most_Positive,Lagos,2024,2.0,0.0,1.745769653486419,2.029168672561725,0.2833990190753055,16.233471495471274
LightGBM,T+2_R0,Heat,Most_Positive,Bauchi,2024,2.0,0.0,2.288970852812262,2.5891747880960643,0.3002039352838022,13.115236260652573
LightGBM,T+2_R0,Heat,Most_Positive,Kwara,2024,2.0,0.0,2.320563274323994,2.718838876464104,0.3982756021401097,17.16288482830238
RandomForest,T+0_R-10,Drought,Most_Negative,Bayelsa,2024,0.0,-10.0,1.982855864690863,1.9051570239020228,-0.0776988407888401,-3.918531960514124
RandomForest,T+0_R-10,Drought,Most_Negative,Imo,2024,0.0,-10.0,1.9377850873200857,1.8696741786916773,-0.0681109086284084,-3.5148845490706244
RandomForest,T+0_R-10,Drought,Most_Negative,Edo,2024,0.0,-10.0,2.0688820586820573,2.011169889369888,-0.0577121693121691,-2.789534041826126
RandomForest,T+0_R-10,Drought,Most_Negative,Kano,2024,0.0,-10.0,1.9585134601509615,1.9200158459133467,-0.038497614237615,-1.9656548203987123
RandomForest,T+0_R-10,Drought,Most_Negative,Yobe,2024,0.0,-10.0,1.9694176791726787,1.9442339514189504,-0.0251837277537283,-1.2787398031436192
RandomForest,T+0_R-10,Drought,Most_Positive,Cross River,2024,0.0,-10.0,1.9022551720501717,1.9050919709919705,0.0028367989417992,0.1491282023295455
RandomForest,T+0_R-10,Drought,Most_Positive,Nasarawa,2024,0.0,-10.0,2.855585733525734,2.8585911700336704,0.0030054365079363,0.1052476370312172
RandomForest,T+0_R-10,Drought,Most_Positive,Kaduna,2024,0.0,-10.0,2.2874002532652518,2.291040733063232,0.0036404797979807,0.1591535977485358
RandomForest,T+0_R-10,Drought,Most_Positive,Borno,2024,0.0,-10.0,2.659030012025013,2.6644277104377108,0.0053976984126977,0.2029950165393995
RandomForest,T+0_R-10,Drought,Most_Positive,Osun,2024,0.0,-10.0,1.9470981176231177,1.9657348504273509,0.0186367328042331,0.9571542715568746
RandomForest,T+0_R-20,Drought,Most_Negative,Bayelsa,2024,0.0,-20.0,1.982855864690863,1.8869257978132965,-0.0959300668775664,-4.837974791098717
RandomForest,T+0_R-20,Drought,Most_Negative,Ogun,2024,0.0,-20.0,2.039880582935582,1.9558925709475696,-0.0839880119880125,-4.117300428790091
RandomForest,T+0_R-20,Drought,Most_Negative,Imo,2024,0.0,-20.0,1.9377850873200857,1.854337467532465,-0.0834476197876201,-4.306340281678315
RandomForest,T+0_R-20,Drought,Most_Negative,Edo,2024,0.0,-20.0,2.0688820586820573,2.008685762385761,-0.0601962962962958,-2.9096050228519448
RandomForest,T+0_R-20,Drought,Most_Negative,Oyo,2024,0.0,-20.0,2.0064290904465896,1.949484557479556,-0.0569445329670335,-2.838103436506636
RandomForest,T+0_R-20,Drought,Most_Positive,Ekiti,2024,0.0,-20.0,2.1849544208569216,2.1837063123913127,-0.0012481084656088,-0.0571228604905797
RandomForest,T+0_R-20,Drought,Most_Positive,Abia,2024,0.0,-20.0,1.9242374470899457,1.923178597883596,-0.0010588492063494,-0.0550269514789237
RandomForest,T+0_R-20,Drought,Most_Positive,Enugu,2024,0.0,-20.0,1.886856821789321,1.886856821789321,0.0,0.0
RandomForest,T+0_R-20,Drought,Most_Positive,Kaduna,2024,0.0,-20.0,2.2874002532652518,2.2895716986716974,0.002171445406446,0.0949307146113307
RandomForest,T+0_R-20,Drought,Most_Positive,Borno,2024,0.0,-20.0,2.659030012025013,2.6651924723424725,0.0061624603174594,0.2317559519671008
RandomForest,T+0_R-30,Drought,Most_Negative,Bayelsa,2024,0.0,-30.0,1.982855864690863,1.8861124247974232,-0.0967434398934397,-4.87899507050264
RandomForest,T+0_R-30,Drought,Most_Negative,Ogun,2024,0.0,-30.0,2.039880582935582,1.956524713804713,-0.0833558691308691,-4.086311219792685
RandomForest,T+0_R-30,Drought,Most_Negative,Imo,2024,0.0,-30.0,1.9377850873200857,1.8570981818181804,-0.0806869055019052,-4.163872765348478
RandomForest,T+0_R-30,Drought,Most_Negative,Edo,2024,0.0,-30.0,2.0688820586820573,2.008685762385761,-0.0601962962962958,-2.9096050228519448
RandomForest,T+0_R-30,Drought,Most_Negative,Jigawa,2024,0.0,-30.0,1.9830492814592824,1.9233373526473532,-0.0597119288119287,-3.011116736745346
RandomForest,T+0_R-30,Drought,Most_Positive,Kaduna,2024,0.0,-30.0,2.2874002532652518,2.2870622277722266,-0.0003380254930247,-0.0147777151175104
RandomForest,T+0_R-30,Drought,Most_Positive,Enugu,2024,0.0,-30.0,1.886856821789321,1.886856821789321,0.0,0.0
RandomForest,T+0_R-30,Drought,Most_Positive,Ekiti,2024,0.0,-30.0,2.1849544208569216,2.186205201280202,0.0012507804232804,0.0572451494338207
RandomForest,T+0_R-30,Drought,Most_Positive,Ondo,2024,0.0,-30.0,2.1849544208569216,2.186205201280202,0.0012507804232804,0.0572451494338207
RandomForest,T+0_R-30,Drought,Most_Positive,Borno,2024,0.0,-30.0,2.659030012025013,2.674663107263107,0.015633095238094,0.5879247382465057
RandomForest,T+0_R0,Baseline,Most_Negative,Abia,2024,0.0,0.0,1.9242374470899457,1.9242374470899453,-4.440892098500626e-16,-2.3078711544755853e-14
RandomForest,T+0_R0,Baseline,Most_Negative,Akwa Ibom,2024,0.0,0.0,1.8684125926850916,1.868412592685091,-4.440892098500626e-16,-2.376826251271744e-14
RandomForest,T+0_R0,Baseline,Most_Negative,Delta,2024,0.0,0.0,1.9366485942760931,1.936648594276093,-4.440892098500626e-16,-2.2930810016985052e-14
RandomForest,T+0_R0,Baseline,Most_Negative,Cross River,2024,0.0,0.0,1.9022551720501717,1.9022551720501708,-4.440892098500626e-16,-2.3345406882055774e-14
RandomForest,T+0_R0,Baseline,Most_Negative,FCT,2024,0.0,0.0,2.5084377397602404,2.50843773976024,-4.440892098500626e-16,-1.7703816316067276e-14
RandomForest,T+0_R0,Baseline,Most_Positive,Taraba,2024,0.0,0.0,2.532413990268988,2.5324139902689886,4.440892098500626e-16,1.7536201093364373e-14
RandomForest,T+0_R0,Baseline,Most_Positive,Oyo,2024,0.0,0.0,2.0064290904465896,2.00642909044659,4.440892098500626e-16,2.2133311960265565e-14
RandomForest,T+0_R0,Baseline,Most_Positive,Niger,2024,0.0,0.0,2.7895873544973533,2.7895873544973537,4.440892098500626e-16,1.5919530504542368e-14
RandomForest,T+0_R0,Baseline,Most_Positive,Ondo,2024,0.0,0.0,2.1849544208569216,2.184954420856922,4.440892098500626e-16,2.0324872940639853e-14
RandomForest,T+0_R0,Baseline,Most_Positive,Enugu,2024,0.0,0.0,1.886856821789321,1.8868568217893211,6.661338147750939e-16,3.530388777159012e-14
RandomForest,T+1_R-10,Compound,Most_Negative,Ekiti,2024,1.0,-10.0,2.1849544208569216,1.908463329725829,-0.2764910911310925,-12.65431848334186
RandomForest,T+1_R-10,Compound,Most_Negative,Ondo,2024,1.0,-10.0,2.1849544208569216,1.908463329725829,-0.2764910911310925,-12.65431848334186
RandomForest,T+1_R-10,Compound,Most_Negative,Edo,2024,1.0,-10.0,2.0688820586820573,1.9015984890109885,-0.167283569671069,-8.085698697471132
RandomForest,T+1_R-10,Compound,Most_Negative,Niger,2024,1.0,-10.0,2.7895873544973533,2.650736483886483,-0.1388508706108702,-4.977469889480815
RandomForest,T+1_R-10,Compound,Most_Negative,Kaduna,2024,1.0,-10.0,2.2874002532652518,2.1727714398564384,-0.1146288134088129,-5.011314187151152
RandomForest,T+1_R-10,Compound,Most_Positive,Katsina,2024,1.0,-10.0,1.9979591144041131,2.0611462109187118,0.0631870965145979,3.1625820598157426
RandomForest,T+1_R-10,Compound,Most_Positive,Osun,2024,1.0,-10.0,1.9470981176231177,2.021558227050725,0.0744601094276073,3.824158051084921
RandomForest,T+1_R-10,Compound,Most_Positive,Lagos,2024,1.0,-10.0,1.6620472915972913,1.860425565730564,0.1983782741332724,11.935777949051216
RandomForest,T+1_R-10,Compound,Most_Positive,FCT,2024,1.0,-10.0,2.5084377397602404,2.8176918314093315,0.3092540916490911,12.328553615153709
RandomForest,T+1_R-10,Compound,Most_Positive,Kwara,2024,1.0,-10.0,2.33390232850483,2.705859136604137,0.371956808099307,15.93711971389968
RandomForest,T+1_R-20,Compound,Most_Negative,Ekiti,2024,1.0,-20.0,2.1849544208569216,1.9056234090909088,-0.2793310117660128,-12.784294679083578
RandomForest,T+1_R-20,Compound,Most_Negative,Ondo,2024,1.0,-20.0,2.1849544208569216,1.9056234090909088,-0.2793310117660128,-12.784294679083578
RandomForest,T+1_R-20,Compound,Most_Negative,Ogun,2024,1.0,-20.0,2.039880582935582,1.8634957905982892,-0.1763847923372927,-8.646819515457041
RandomForest,T+1_R-20,Compound,Most_Negative,Edo,2024,1.0,-20.0,2.0688820586820573,1.9020084096459084,-0.1668736490361488,-8.065885067535103
RandomForest,T+1_R-20,Compound,Most_Negative,Niger,2024,1.0,-20.0,2.7895873544973533,2.64792315055315,-0.1416642039442033,-5.078321125732567
RandomForest,T+1_R-20,Compound,Most_Positive,Bauchi,2024,1.0,-20.0,2.347526554186554,2.3824106992081986,0.0348841450216443,1.4859957583624506
RandomForest,T+1_R-20,Compound,Most_Positive,Katsina,2024,1.0,-20.0,1.9979591144041131,2.050736647426646,0.0527775330225332,2.641572224478381
