Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Edo,2022,Rainfall_Anomaly_Z_2000_2019,-0.0902262603706349,0.0067529390945761094,0.0067529390945761094,1
RandomForest,Edo,2023,Seasonal_Rainfall_mm,1627.1,0.017751164209472432,0.017751164209472432,1
RandomForest,Edo,2023,Seasonal_GDD_C,4491.344999999999,-0.33665563258895315,0.33665563258895315,1
RandomForest,Edo,2023,Max_CDD_days,5.0,-0.0021117057779060752,0.0021117057779060752,1
RandomForest,Edo,2023,Mean_Tmax_C,29.14454545454545,-0.10273387643631049,0.10273387643631049,1
RandomForest,Edo,2023,Mean_Tmin_C,23.51978181818182,0.04916896798086175,0.04916896798086175,1
RandomForest,Edo,2023,Mean_RH_pct,91.03549090909092,0.03450230079020558,0.03450230079020558,1
RandomForest,Edo,2023,Mean_Solar_Radiation_MJ_m2_day,15.572254545454545,-0.07520590684874265,0.07520590684874265,1
RandomForest,Edo,2023,Rainfall_Anomaly_Z_2000_2019,-0.1358214922887876,0.00330299532959218,0.00330299532959218,1
RandomForest,Edo,2024,Seasonal_Rainfall_mm,1355.78,0.015642617981442685,0.015642617981442685,1
RandomForest,Edo,2024,Seasonal_GDD_C,4583.435,-0.23453025483320264,0.23453025483320264,1
RandomForest,Edo,2024,Max_CDD_days,12.0,-0.005611255206671521,0.005611255206671521,1
RandomForest,Edo,2024,Mean_Tmax_C,29.72083636363637,0.09959828877004075,0.09959828877004075,1
RandomForest,Edo,2024,Mean_Tmin_C,23.613236363636364,0.052291238081185056,0.052291238081185056,1
RandomForest,Edo,2024,Mean_RH_pct,89.4073090909091,0.020391277644476586,0.020391277644476586,1
RandomForest,Edo,2024,Mean_Solar_Radiation_MJ_m2_day,15.766727272727271,-0.06497651462911709,0.06497651462911709,1
RandomForest,Edo,2024,Rainfall_Anomaly_Z_2000_2019,-0.6234406615451246,0.022377090871748658,0.022377090871748658,1
RandomForest,Imo,2020,Seasonal_Rainfall_mm,2503.75,-0.01614799514115309,0.01614799514115309,1
RandomForest,Imo,2020,Seasonal_GDD_C,4503.735000000001,-0.2286317734587848,0.2286317734587848,1
RandomForest,Imo,2020,Max_CDD_days,11.0,-0.007452959356519661,0.007452959356519661,1
RandomForest,Imo,2020,Mean_Tmax_C,29.527381818181816,0.08078583755362759,0.08078583755362759,1
RandomForest,Imo,2020,Mean_Tmin_C,23.227054545454543,0.05190654141466482,0.05190654141466482,1
RandomForest,Imo,2020,Mean_RH_pct,88.37385454545453,-0.015571782067123268,0.015571782067123268,1
RandomForest,Imo,2020,Mean_Solar_Radiation_MJ_m2_day,16.229454545454548,-0.008368202110256998,0.008368202110256998,1
RandomForest,Imo,2020,Rainfall_Anomaly_Z_2000_2019,1.1889697697778427,0.036559742239867674,0.036559742239867674,1
RandomForest,Imo,2021,Seasonal_Rainfall_mm,2524.21,-0.016920127013167093,0.016920127013167093,1
RandomForest,Imo,2021,Seasonal_GDD_C,4493.635,-0.313411750503881,0.313411750503881,1
RandomForest,Imo,2021,Max_CDD_days,10.0,-0.008045522283643068,0.008045522283643068,1
RandomForest,Imo,2021,Mean_Tmax_C,29.31836363636364,-0.06238108764430092,0.06238108764430092,1
