Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha_04a,Median_Yield_Change_MT_Ha_04a,Q25_Yield_Change_MT_Ha_04a,Q75_Yield_Change_MT_Ha_04a,Min_Yield_Change_MT_Ha_04a,Max_Yield_Change_MT_Ha_04a,Mean_Yield_Change_pct_04a,Median_Yield_Change_pct_04a,Mean_Yield_Change_MT_Ha_04b,Median_Yield_Change_MT_Ha_04b,Q25_Yield_Change_MT_Ha_04b,Q75_Yield_Change_MT_Ha_04b,Min_Yield_Change_MT_Ha_04b,Max_Yield_Change_MT_Ha_04b,Mean_Yield_Change_pct_04b,Median_Yield_Change_pct_04b,Difference_Mean_MT_Ha_04b_minus_04a,Difference_Mean_pct_points_04b_minus_04a,Absolute_Method_Difference_pct_points
RandomForest,T+2_R0,Heat,2.0,0.0,-0.0093643645143644,-0.0043549074074071,-0.0903682137307131,0.0682104033929043,-0.330499260369262,0.3305089010989004,-0.3001518653699113,-0.2289339238706679,-0.0093643645143646,-0.0043549074074071,-0.0903682137307133,0.0682104033929043,-0.3304992603692624,0.3305089010989013,-0.3001518653699174,-0.2289339238706679,-1.9949319973733282e-16,-6.106226635438361e-15,6.106226635438361e-15
Ridge,T+0_R-10,Drought,0.0,-10.0,-0.0026020591549332,-0.0004358984898322,-0.0082429979778018,0.00351628697807,-0.0459752259050167,0.0120570460888362,-0.101592733009384,-0.0213287698232616,0.0019011161639955,-0.0004358984898322,-0.0071336295485333,0.006280591472799,-0.0459752259050167,0.0717352119961078,0.1260112255589135,-0.0213287698232616,0.004503175318928699,0.22760395856829752,0.22760395856829752
Ridge,T+0_R-20,Drought,0.0,-20.0,-0.0052041183098666,-0.0008717969796645,-0.0164859959556036,0.0070325739561403,-0.0919504518100335,0.0241140921776721,-0.2031854660187738,-0.0426575396465232,0.0015506446685268,-0.0001747439199339,-0.0128870810994188,0.012561182945598,-0.0919504518100335,0.0809888664420763,0.1257085865071202,-0.0077627121955964,0.0067547629783934,0.328894052525894,0.328894052525894
Ridge,T+0_R-30,Drought,0.0,-30.0,-0.0078061774647998,-0.0013076954694968,-0.0247289939334054,0.0105488609342105,-0.1379256777150503,0.0361711382665084,-0.304778199028159,-0.0639863094697848,0.0019507023928794,0.0016335565808986,-0.0193306216491278,0.0275263266347693,-0.1379256777150503,0.0971849161713938,0.1657280148643535,0.0738599254920178,0.0097568798576792,0.4705062138925125,0.4705062138925125
Ridge,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridge,T+1_R-10,Compound,1.0,-10.0,0.0337125567089435,0.0328642701966002,0.0270878155805629,0.043236837334621,0.0072626740057484,0.0553729691886677,1.5614038220943531,1.5785432603309522,0.0382157320278725,0.0396586857702248,0.0281123944540238,0.0441593774603488,0.0072626740057484,0.0925424361038722,1.7890077806626548,1.7673476316759775,0.004503175318928999,0.22760395856830162,0.22760395856830162
Ridge,T+1_R-20,Compound,1.0,-20.0,0.0311104975540103,0.0357134411064659,0.0229412846993399,0.0393145329997013,-0.0387125518992683,0.0575080384665702,1.4598110890849678,1.6467922308386531,0.0378652605324036,0.0367519039551611,0.0259062697791452,0.0436355060479565,-0.0387125518992683,0.1198457111630686,1.78870514161086,1.6944057063673763,0.006754762978393298,0.3288940525258921,0.3288940525258921
Ridge,T+1_R-30,Compound,1.0,-30.0,0.0285084383990769,0.0313560850419745,0.0218955492964973,0.0433681211292364,-0.0846877778042851,0.0596431077444723,1.3582183560755805,1.4532643424966212,0.0382653182567563,0.0343958274494928,0.0240083149951275,0.0522905979070333,-0.0846877778042851,0.1179921402791581,1.8287245699680912,1.602664901127245,0.009756879857679403,0.4705062138925107,0.4705062138925107
Ridge,T+1_R0,Heat,1.0,0.0,0.0363146158638769,0.0425464683273579,0.0208072241077641,0.0532378999107652,0.0208072241077639,0.0532378999107661,1.662996555103743,1.887903032513281,0.0363146158638768,0.0425464683273575,0.0208072241077643,0.0532378999107652,0.0208072241077634,0.0532378999107656,1.6629965551037398,1.8879030325132813,-1.0408340855860843e-16,-3.1086244689504383e-15,3.1086244689504383e-15
Ridge,T+2_R-10,Compound,2.0,-10.0,0.0700271725728206,0.0797537259663578,0.048619907703586,0.0911872900015384,0.0397901914782741,0.1086108690994329,3.224400377198104,3.38360617253654,0.0745303478917495,0.082474387045452,0.0491347472226855,0.0973972773711144,0.0397901914782745,0.113349660211635,3.452004335766403,3.7352090269771945,0.004503175318928909,0.22760395856829918,0.22760395856829918
